timestamp,concurrent_users,test_type,question_category,question,answer,response_time_ms,ttff_ms,status_code,status
2026-04-27T17:36:18.186133,15,load,Direct,What tariff will my aluminium rods with HS code 7604.29.10.10 be subject to if it was manufactured in Russia and exported to the US?,"### Tariff Information for Aluminium Rods (HS Code 7604.29.10.10)
**Trade Route:** Russia → United States

---

### **Applicable Duties:**

#### 1. **Standard MFN (Most Favoured Nation) Duty**
- **Rate:** 5% of FOB value
- **Applies to:** All countries under WTO MFN treatment

#### 2. **Additional Customs Duty (ACD) on Russian Aluminium**
- **Rate:** **200% of FOB value**
- **Specific Condition:** This additional duty applies to:
  - Aluminum articles that are the product of Russia, **OR**
  - W",47502.69,5069.13,200,Success
2026-04-27T17:36:40.035998,15,load,Indirect,We import Korean cosmetics (HS 3304) under RCEP into Singapore and re-export to Japan with no further processing. Can we apply for a back-to-back RCEP certificate?,"## Can You Apply for a Back-to-Back RCEP Certificate?

**Yes, you can apply for a back-to-back RCEP certificate** for your scenario of importing Korean cosmetics (HS 3304) into Singapore and re-exporting to Japan with no further processing.

### Eligibility Confirmation

Your situation meets the requirements for a back-to-back certificate under RCEP because:

1. **All three countries are RCEP members**: South Korea, Singapore, and Japan are all parties to the Regional Comprehensive Economic Part",82423.64,3859.72,200,Success
2026-04-27T17:36:44.674528,15,load,Indirect,"Under which FTAs, if any, can India-origin goods use a back-to-back mechanism via Singapore?","Based on the information retrieved from the CFOTI Knowledge Base, India-origin goods can use a back-to-back mechanism via Singapore under the following FTA:

## **ASEAN-India Free Trade Area (AIFTA)**

### Key Information:

**AIFTA explicitly supports back-to-back Certificate of Origin (CO) provisions.** According to the Operational Certification Procedures documented in the AIFTA agreement:

- **Back-to-Back CO Provision**: In cases of Back-to-Back CO, in accordance with the Operational Certifi",86117.19,3009.07,200,Success
2026-04-27T17:36:49.149900,15,load,Indirect,"If we import under ASEAN-China FTA and re-export to Japan under RCEP with minimal repackaging in Singapore, can we use a back-to-back certificate, and what are the conditions and time limits?","Thank you for your enquiry about Back-to-Back Preferential Certificate of Origin (B2B PCO) eligibility under RCEP.

To properly assess your eligibility for a Back-to-Back PCO and provide you with the specific conditions and time limits, I need the following information:

### **Required Information:**

1. **HS Code** (Required): Please provide the specific HS code for your product. This is essential to determine tariff rates, FTA eligibility, and Rules of Origin requirements.
   - If you're unsur",27460.67,5238.04,200,Success
2026-04-27T17:36:51.750463,15,load,Indirect,We import Korean cosmetics (HS 3304) under RCEP into Singapore and re-export to Japan with no further processing. Can we apply for a back-to-back RCEP certificate?,"**Yes, you can apply for a back-to-back RCEP certificate** for your scenario of importing Korean cosmetics (HS 3304) into Singapore and re-exporting to Japan with no further processing.

---

### Legal Basis

Under **RCEP Article 3.19 (Back-to-Back Proof of Origin)**, an intermediate Party (Singapore) may issue a back-to-back Proof of Origin provided that the following conditions are met:

| Requirement | Your Scenario | Status |
|------------|---------------|---------|
| Valid original Proof of",91249.01,3859.4,200,Success
2026-04-27T17:36:52.337889,15,load,Direct,Where do I access certified lists or notices indicating country eligibility for Singapore public tenders under certain agreements?,"Based on the information retrieved from the CFOTI Knowledge Base, I can provide you with guidance on where to access information about country eligibility for Singapore public tenders under trade agreements.

## Official Publication Channels for Singapore Government Procurement

Singapore publishes government procurement information through the following officially designated channels:

### 1. **GeBIZ (Government Electronic Business Portal)**
- **Website**: http://www.gebiz.gov.sg
- **Purpose**:",82662.05,2968.49,200,Success
2026-04-27T17:36:53.551365,15,load,Direct,"In what ways do digital trade provisions in relevant agreements create sector-specific opportunities and advantages, and how do they improve market access and cross-border dealings?","I am unable to retrieve sufficient information regarding this subject matter. For further guidance, please click on the 'Email' button on the bottom right corner of the screen to arrange for a call or a one-to-one advisory session. Our specialists can offer tailored insights based on your product and trade needs, and help you address any related queries or challenges.",6005.06,6004.91,200,Success
2026-04-27T17:37:01.409665,15,load,Direct,I would like to know more about the import duties for export from Singapore to US. HS code for my product is 9404.21.00.10. Estimated export value for each mattress is $150.,"# Import Duties for Mattresses from Singapore to United States

## Product Information
- **HS Code:** 9404.21.00.10 (Mattresses of cellular rubber or plastics, whether or not covered)
- **Country of Origin:** Singapore
- **Country of Destination:** United States
- **Estimated Export Value:** $150 per mattress
- **HS Code Format:** 10-digit HTS format (appropriate for US imports)

---

## Import Duties and Taxes

### 1. Customs Duties

| Duty Type | Rate | Conditions | Notes |
|-----------|------",101905.46,3011.46,200,Success
2026-04-27T17:37:02.975636,15,load,Direct,How do I check if my product qualifies for zero tariff under RCEP?,"To check if your product qualifies for zero tariff under RCEP, you need to follow a systematic verification process. Here's a comprehensive guide based on RCEP Rules of Origin requirements:

### **Step 1: Gather Essential Information**

Before you can determine eligibility, you need the following information:

1. **HS Code** (at least 6-digit level) - This identifies your product classification
2. **Country of Origin** - Where your product is manufactured/produced
3. **Country of Destination** -",97415.07,4533.72,200,Success
2026-04-27T17:37:06.274954,15,load,Indirect,"We export organic fertiliser (HS 3101) from Singapore to New Zealand. Under CPTPP, what are the rules of origin and any product-specific requirements we must meet?","# CPTPP Rules of Origin for Organic Fertiliser (HS 3101)
**Export from Singapore to New Zealand**

---

## Product-Specific Rule of Origin

For organic fertiliser classified under **HS heading 31.01**, the CPTPP product-specific rule of origin requires:

**""A change to a good of heading 31.01 from any other heading.""**

This is a **Change in Tariff Classification (CTC)** rule, meaning your organic fertiliser will qualify as originating under CPTPP if all non-originating materials used in its pro",103681.97,4318.93,200,Success
