timestamp,concurrent_users,test_type,question_category,question,answer,response_time_ms,ttff_ms,status_code,status
2026-04-27T18:02:41.622119,21,load,Direct,We are a manufacturing company looking to export plastic bottles to customers in other countries. Can you please advise the steps and processes we have to take?,"Thank you for your question. To better assist you, could you please clarify the following:

1. **Are the plastic bottles being shipped directly from your manufacturing facility to the destination country, or will they be processed/repacked/transformed in a third country (such as Singapore) before reaching the final customer?**

2. **Are you looking to claim tariff preferences under any Free Trade Agreement (FTA)?**

3. **What are the destination countries for your exports?**

This information wi",9768.8,9768.7,200,Success
2026-04-27T18:02:54.525508,30,load,Direct,Which official sources provide documentation or certification showing that companies from certain countries are eligible to participate in Singapore government procurement under specific agreements?,"I am unable to retrieve sufficient information regarding this subject matter. For further guidance, please click on the 'Email' button on the bottom right corner of the screen to arrange for a call or a one-to-one advisory session. Our specialists can offer tailored insights based on your product and trade needs, and help you address any related queries or challenges.",20657.53,20657.4,200,Success
2026-04-27T18:03:24.423589,30,load,Indirect,"If I import products from South Korea into Singapore, store them in Singapore, and then export them to Vietnam. Is there any FTA I can use to obtain duty savings on import into Vietnam?","### Preliminary Assessment: FTA Eligibility for South Korea → Singapore → Vietnam

Good news! Based on your trade route (South Korea → Singapore → Vietnam), there are **Free Trade Agreements (FTAs)** that include all three countries, which is a prerequisite for potential duty savings through a **Back-to-Back Preferential Certificate of Origin (B2B PCO)**.

---

### **Applicable FTA Groups**

The following FTAs include South Korea, Singapore, and Vietnam:

| FTA | Full Name | Type |
|-----|------",59642.52,4860.48,200,Success
2026-04-27T18:03:33.171854,30,load,Direct,What is the tariff rate for exporting printed books (HS 4901.99) from Singapore to Vietnam under ATIGA?,"### Tariff Rate Inquiry: HS 4901.99 (Singapore → Vietnam under ATIGA)

Thank you for your inquiry regarding the tariff rate for printed books under HS code 4901.99 from Singapore to Vietnam under ATIGA.

---

### ⚠️ System Limitation Identified

**The system could not retrieve tariff/classification information for the HS code provided for Vietnam as the destination.**

**Details:**
- **HS Code Provided:** 4901.99 (6 digits)
- **Country of Origin:** Singapore
- **Country of Destination:** Vietnam",69364.88,3022.39,200,Success
2026-04-27T18:03:47.008644,30,load,Direct,I am exporting 3305.20 from Japan to the US. Are there any additional tariffs?,"# Additional Tariffs for HS Code 3305.20 from Japan to United States

## Summary

**Yes, there is an additional tariff** that applies to your export of HS code 3305.20 from Japan to the United States.

---

## Tariff Information

### Standard Duty Rate
- **MFN (Most Favoured Nation) Rate:** Free (0%)

### Additional Tariff - Universal Customs Duty (UCD)
- **Rate:** 10% of FOB value
- **Application:** This is a distinct duty measure applicable **in addition to** the MFN or other applicable duty r",74098.24,10863.26,200,Success
2026-04-27T18:03:51.719273,30,load,Direct,What is the tariff for importing stainless steel sheets (HS 7219.13) from Indonesia into Singapore under ATIGA?,"# Tariff for Importing Stainless Steel Sheets (HS 7219.13) from Indonesia to Singapore under ATIGA

## Summary

For importing **stainless steel sheets** classified under **HS Code 7219.13** from **Indonesia** to **Singapore** under the **ASEAN Trade in Goods Agreement (ATIGA)**, the customs duty is **free (0%)**.

---

## Detailed Tariff Information

### Customs Duty under ATIGA
| HS Code | Description | ATIGA Tariff Rate | Conditions |
|---------|-------------|-------------------|------------|
",80836.11,9715.46,200,Success
2026-04-27T18:04:13.885168,30,load,Direct,What HS code should I use for LED light fixtures (ceiling type) for export to India?,"### Sample HS Code for LED Light Fixtures (Ceiling Type) for Export to India

Based on your search for **""LED ceiling light fixtures""** exporting from **Singapore** to **India**, I found the following sample HS code:

#### **Recommended HS Code: 9405.11**

| HS Code | Description | Format | Has tariff/duty information | Notes |
|---------|-------------|--------|----------------------------|-------|
| **9405.11** | Chandeliers and other electric ceiling or wall lighting fittings, designed for use",93966.92,9970.19,200,Success
2026-04-27T18:04:44.905945,30,load,Direct,"Which Singapore FTA covers trade in services, not just goods?","Based on the information retrieved from the CFOTI Knowledge Base, **many of Singapore's FTAs cover trade in services, not just goods**. Here are the confirmed FTAs with services provisions:

## Singapore FTAs with Trade in Services Chapters

| FTA | Services Coverage | Source |
|-----|------------------|--------|
| **CPTPP** (Comprehensive and Progressive Agreement for Trans-Pacific Partnership) | Chapter 10: Cross-Border Trade in Services - covers production, distribution, marketing, sale or de",135075.34,3282.45,200,Success
2026-04-27T18:04:47.470921,30,load,Direct,I am exporting steel forgings of gear boxes with HS code 8708.40.75.70 from China to the US. What tariffs apply?,"# Tariff Information for Steel Forgings of Gear Boxes (HS Code 8708.40.75.70)

**Export Details:**
- **HS Code:** 8708.40.75.70
- **Product:** Steel forgings of gear boxes
- **Country of Origin:** China
- **Country of Destination:** United States

---

## Applicable Duties

Based on the official tariff data, the following duties apply to your product when imported from China into the United States:

| Duty Type | Rate | Conditions | Notes |
|-----------|------|------------|-------|
| **MFN (Most",140666.19,12146.08,200,Success
2026-04-27T18:05:02.221520,30,load,Indirect,"Our goods qualify under both RCEP and ATIGA for export to Thailand. Which agreement should we use for the PCO, and does it affect how we complete the origin declaration?","Based on the information retrieved from the CFOTI Knowledge Base, when your goods qualify under both RCEP and ATIGA for export to Thailand, here is guidance on selecting the appropriate FTA and how it affects your origin declaration:

## Choosing Between RCEP and ATIGA

The choice of which FTA to use for your Preferential Certificate of Origin (PCO) is ultimately **your decision as the exporter**. According to the guidance from the CFOTI Knowledge Base:

**Key Considerations for FTA Selection:**",159448.85,4309.77,200,Success
